request_id,app_id,point_x,point_y,entry_node,node_1,node_2,node_3,propagation_ms,processing_ms,latency_max_ms,slo_violation,total_ms,status
759,APP-COM,3.763815,7.416964,UAV-233,UAV-031,UAV-029,UAV-287,3149.910998,120.000000,1600.000000,YES,3269.910998,OK
760,APP-COM,0.229119,6.399999,UAV-020,UAV-199,UAV-067,UAV-054,3119.251894,120.000000,1600.000000,YES,3239.251894,OK
761,APP-COM,2.232300,6.665885,UAV-025,UAV-228,UAV-060,UAV-065,3092.733641,120.000000,1600.000000,YES,3212.733641,OK
762,APP-COM,3.185160,7.785456,UAV-233,UAV-031,UAV-083,UAV-090,3142.375437,120.000000,1600.000000,YES,3262.375437,OK
763,APP-COM,0.339811,6.361527,UAV-020,UAV-238,UAV-005,UAV-223,2820.965762,120.000000,1600.000000,YES,2940.965762,OK
764,APP-COM,1.119472,7.231639,UAV-025,UAV-289,UAV-029,UAV-287,3095.544238,120.000000,1600.000000,YES,3215.544238,OK
765,APP-COM,0.781322,7.398904,UAV-025,UAV-004,UAV-058,UAV-200,3014.107545,120.000000,1600.000000,YES,3134.107545,OK
766,APP-COM,3.405949,7.489160,UAV-233,UAV-031,UAV-060,UAV-232,3369.543704,120.000000,1600.000000,YES,3489.543704,OK
767,APP-COM,2.463004,6.509832,UAV-020,UAV-008,UAV-063,UAV-284,2943.826890,120.000000,1600.000000,YES,3063.826890,OK
768,APP-COM,0.775421,6.824638,UAV-020,UAV-009,UAV-003,UAV-287,3092.416239,120.000000,1600.000000,YES,3212.416239,OK
769,APP-COM,4.144923,6.892218,UAV-233,UAV-031,UAV-068,UAV-302,3393.891833,120.000000,1600.000000,YES,3513.891833,OK
770,APP-COM,0.670331,6.595323,UAV-020,UAV-016,UAV-083,UAV-090,3074.353543,120.000000,1600.000000,YES,3194.353543,OK
771,APP-COM,4.390366,7.559111,UAV-233,UAV-031,UAV-005,UAV-224,3363.739178,120.000000,1600.000000,YES,3483.739178,OK
772,APP-COM,4.820557,6.361679,UAV-031,UAV-031,UAV-241,UAV-246,2322.834790,120.000000,1600.000000,YES,2442.834790,OK
773,APP-COM,1.705248,7.649882,UAV-025,UAV-035,UAV-006,UAV-224,3111.751401,120.000000,1600.000000,YES,3231.751401,OK
774,APP-COM,1.234008,6.897882,UAV-020,UAV-036,UAV-068,UAV-037,3176.044659,120.000000,1600.000000,YES,3296.044659,OK
775,APP-COM,0.245473,7.156763,UAV-013,UAV-041,UAV-071,UAV-054,823.504929,120.000000,1600.000000,NO,943.504929,OK
776,APP-COM,3.543519,6.401775,UAV-031,UAV-031,UAV-006,UAV-224,2404.792354,120.000000,1600.000000,YES,2524.792354,OK
777,APP-COM,2.342516,7.545025,UAV-025,UAV-046,UAV-005,UAV-223,2768.169032,120.000000,1600.000000,YES,2888.169032,OK
778,APP-COM,4.523502,6.293489,UAV-031,UAV-031,UAV-007,UAV-284,2367.578762,120.000000,1600.000000,YES,2487.578762,OK
779,APP-COM,3.257191,7.297209,UAV-233,UAV-031,UAV-029,UAV-287,3351.808214,120.000000,1600.000000,YES,3471.808214,OK
780,APP-COM,1.200309,6.635840,UAV-020,UAV-017,UAV-060,UAV-065,3253.567824,120.000000,1600.000000,YES,3373.567824,OK
781,APP-COM,1.297666,7.775255,UAV-025,UAV-051,UAV-029,UAV-287,2983.870082,120.000000,1600.000000,YES,3103.870082,OK
782,APP-COM,3.100494,7.915454,UAV-025,UAV-053,UAV-067,UAV-200,3059.400669,120.000000,1600.000000,YES,3179.400669,OK
783,APP-COM,4.690476,6.348198,UAV-031,UAV-031,UAV-003,UAV-232,2336.969083,120.000000,1600.000000,YES,2456.969083,OK
784,APP-COM,2.402127,7.885716,UAV-025,UAV-056,UAV-241,UAV-287,3027.040491,120.000000,1600.000000,YES,3147.040491,OK
785,APP-COM,1.058138,7.864815,UAV-025,UAV-196,UAV-083,UAV-090,2874.202211,120.000000,1600.000000,YES,2994.202211,OK
786,APP-COM,3.199040,6.431001,UAV-031,UAV-031,UAV-007,UAV-284,2260.544459,120.000000,1600.000000,YES,2380.544459,OK
787,APP-COM,2.120989,6.621430,UAV-020,UAV-199,UAV-007,UAV-284,3042.371357,120.000000,1600.000000,YES,3162.371357,OK
788,APP-COM,2.397593,7.845067,UAV-025,UAV-201,UAV-068,UAV-232,3122.291481,120.000000,1600.000000,YES,3242.291481,OK
789,APP-COM,3.149981,6.251917,UAV-031,UAV-031,UAV-003,UAV-037,2460.733113,120.000000,1600.000000,YES,2580.733113,OK
790,APP-COM,2.279228,6.784846,UAV-025,UAV-235,UAV-083,UAV-302,3071.124619,120.000000,1600.000000,YES,3191.124619,OK
791,APP-COM,2.280521,6.741205,UAV-025,UAV-238,UAV-005,UAV-224,3006.892491,120.000000,1600.000000,YES,3126.892491,OK
792,APP-COM,3.925738,6.378216,UAV-031,UAV-031,UAV-005,UAV-223,2200.570274,120.000000,1600.000000,YES,2320.570274,OK
793,APP-COM,2.391662,7.743946,UAV-025,UAV-288,UAV-029,UAV-287,3281.673773,120.000000,1600.000000,YES,3401.673773,OK
794,APP-COM,4.743158,7.114743,UAV-233,UAV-031,UAV-058,UAV-054,3483.556063,120.000000,1600.000000,YES,3603.556063,OK
795,APP-COM,0.130049,6.912421,UAV-013,UAV-289,UAV-060,UAV-065,866.705047,120.000000,1600.000000,NO,986.705047,OK
796,APP-COM,4.238965,7.803487,UAV-233,UAV-031,UAV-006,UAV-224,3132.276708,120.000000,1600.000000,YES,3252.276708,OK
797,APP-COM,4.938597,7.710499,UAV-038,UAV-064,UAV-063,UAV-200,422.562514,120.000000,1600.000000,NO,542.562514,OK
798,APP-COM,3.663853,6.066128,UAV-031,UAV-031,UAV-071,UAV-302,2500.752391,120.000000,1600.000000,YES,2620.752391,OK
799,APP-COM,1.461170,7.177526,UAV-025,UAV-290,UAV-083,UAV-090,3197.672062,120.000000,1600.000000,YES,3317.672062,OK
800,APP-COM,3.514410,6.960178,UAV-233,UAV-031,UAV-007,UAV-284,3257.387880,120.000000,1600.000000,YES,3377.387880,OK
801,APP-COM,4.494854,7.603224,UAV-233,UAV-031,UAV-029,UAV-287,3193.280246,120.000000,1600.000000,YES,3313.280246,OK
802,APP-COM,2.354145,7.020585,UAV-025,UAV-290,UAV-067,UAV-232,3153.248062,120.000000,1600.000000,YES,3273.248062,OK
803,APP-COM,4.161999,7.965941,UAV-233,UAV-031,UAV-241,UAV-246,3287.973565,120.000000,1600.000000,YES,3407.973565,OK
