request_id,service_id,point_x,point_y,entry_node,target_node,target_x,target_y,path_latency_ms,propagation_ms,processing_ms,orig_total_ms,latency_max_ms,slo_violation,total_ms,status
3741,COM-S03,2.554485,7.239177,UAV-025,UAV-200,6.000000,10.000000,348.0,667.885477,22.500000,690.385477,1000.000000,NO,690.385477,OK
3742,COM-S03,1.847370,6.498427,UAV-020,UAV-065,15.000000,-5.000000,300.0,593.578820,22.500000,616.078820,1000.000000,NO,616.078820,OK
3743,COM-S03,3.887273,7.897944,UAV-233,UAV-200,6.000000,10.000000,340.0,689.835184,22.500000,712.335184,1000.000000,NO,712.335184,OK
3744,COM-S03,1.690319,7.122386,UAV-025,UAV-223,-5.000000,4.000000,349.0,707.590870,22.500000,730.090870,1000.000000,NO,730.090870,OK
3745,COM-S03,4.403481,7.153173,UAV-233,UAV-224,-4.000000,6.000000,340.0,675.356442,22.500000,697.856442,1000.000000,NO,697.856442,OK
3746,COM-S03,4.553916,7.509956,UAV-233,UAV-232,2.000000,0.000000,341.0,688.980123,22.500000,711.480123,1000.000000,NO,711.480123,OK
3747,COM-S03,2.374105,6.313308,UAV-020,UAV-286,1.000000,5.000000,301.0,638.929871,22.500000,661.429871,1000.000000,NO,661.429871,OK
3748,COM-S03,3.724733,7.094105,UAV-233,UAV-224,-4.000000,6.000000,344.0,704.463050,22.500000,726.963050,1000.000000,NO,726.963050,OK
3749,COM-S03,2.742644,7.000423,UAV-025,UAV-232,2.000000,0.000000,352.0,684.563054,22.500000,707.063054,1000.000000,NO,707.063054,OK
3750,COM-S03,1.966482,7.076800,UAV-025,UAV-250,24.000000,-6.000000,352.0,713.677419,22.500000,736.177419,1000.000000,NO,736.177419,OK
3751,COM-S03,3.760254,7.517834,UAV-233,UAV-254,28.000000,-6.000000,344.0,633.255723,22.500000,655.755723,1000.000000,NO,655.755723,OK
3752,COM-S03,3.369054,7.000186,UAV-233,UAV-284,-2.000000,10.000000,345.0,720.301880,22.500000,742.801880,1000.000000,NO,742.801880,OK
3753,COM-S03,2.309523,6.058454,UAV-020,UAV-284,-2.000000,10.000000,304.0,626.928053,22.500000,649.428053,1000.000000,NO,649.428053,OK
3754,COM-S03,2.357652,6.332092,UAV-020,UAV-287,4.000000,0.000000,304.0,555.322014,22.500000,577.822014,1000.000000,NO,577.822014,OK
3755,COM-S03,2.118061,6.963947,UAV-025,UAV-287,4.000000,0.000000,353.0,726.825004,22.500000,749.325004,1000.000000,NO,749.325004,OK
3756,COM-S03,3.659577,7.147682,UAV-233,UAV-302,20.000000,2.000000,348.0,764.597962,22.500000,787.097962,1000.000000,NO,787.097962,OK
3757,COM-S03,0.982297,7.536427,UAV-025,UAV-090,22.000000,7.000000,357.0,689.378997,22.500000,711.878997,1000.000000,NO,711.878997,OK
3758,COM-S03,4.191643,7.497331,UAV-233,UAV-232,2.000000,0.000000,349.0,701.634973,22.500000,724.134973,1000.000000,NO,724.134973,OK
3759,COM-S03,1.722363,6.810919,UAV-020,UAV-286,1.000000,5.000000,305.0,569.319692,22.500000,591.819692,1000.000000,NO,591.819692,OK
3760,COM-S03,4.653739,7.721149,UAV-233,UAV-250,24.000000,-6.000000,350.0,695.740660,22.500000,718.240660,1000.000000,NO,718.240660,OK
3761,COM-S03,2.863287,7.011254,UAV-233,UAV-287,4.000000,0.000000,350.0,709.293315,22.500000,731.793315,1000.000000,NO,731.793315,OK
3762,COM-S03,3.512579,6.766535,UAV-233,UAV-302,20.000000,2.000000,353.0,713.638130,22.500000,736.138130,1000.000000,NO,736.138130,OK
3763,COM-S03,3.361175,6.823388,UAV-233,UAV-302,20.000000,2.000000,354.0,678.438391,22.500000,700.938391,1000.000000,NO,700.938391,OK
3764,COM-S03,0.164307,7.911865,UAV-019,UAV-037,6.000000,5.000000,108.0,220.489448,22.500000,242.989448,1000.000000,NO,242.989448,OK
3765,COM-S03,2.006761,7.436831,UAV-025,UAV-037,6.000000,5.000000,360.0,711.784929,22.500000,734.284929,1000.000000,NO,734.284929,OK
3766,COM-S03,0.406519,6.452843,UAV-020,UAV-286,1.000000,5.000000,309.0,604.422348,22.500000,626.922348,1000.000000,NO,626.922348,OK
3767,COM-S03,4.166154,7.313583,UAV-233,UAV-054,12.000000,-5.000000,356.0,729.463175,22.500000,751.963175,1000.000000,NO,751.963175,OK
3768,COM-S03,0.227952,7.126704,UAV-013,UAV-054,12.000000,-5.000000,128.0,257.988450,22.500000,280.488450,1000.000000,NO,280.488450,OK
3769,COM-S03,4.324876,6.987248,UAV-233,UAV-065,15.000000,-5.000000,360.0,673.349219,22.500000,695.849219,1000.000000,NO,695.849219,OK
3770,COM-S03,0.518647,6.020844,UAV-020,UAV-065,15.000000,-5.000000,312.0,641.261627,22.500000,663.761627,1000.000000,NO,663.761627,OK
3771,COM-S03,3.858295,6.095121,UAV-031,UAV-090,22.000000,7.000000,208.0,420.561817,22.500000,443.061817,1000.000000,NO,443.061817,OK
3772,COM-S03,0.752611,7.123642,UAV-020,UAV-200,6.000000,10.000000,312.0,674.669613,22.500000,697.169613,1000.000000,NO,697.169613,OK
3773,COM-S03,2.721456,6.065961,UAV-031,UAV-223,-5.000000,4.000000,208.0,437.943391,22.500000,460.443391,1000.000000,NO,460.443391,OK
3774,COM-S03,0.721897,7.909546,UAV-025,UAV-107,28.000000,-1.000000,364.0,741.289125,22.500000,763.789125,1000.000000,NO,763.789125,OK
3775,COM-S03,1.511817,6.522266,UAV-020,UAV-286,1.000000,5.000000,313.0,588.981867,22.500000,611.481867,1000.000000,NO,611.481867,OK
3776,COM-S03,0.306917,6.956111,UAV-020,UAV-128,34.000000,6.000000,316.0,629.979816,22.500000,652.479816,1000.000000,NO,652.479816,OK
3777,COM-S03,0.498447,7.841561,UAV-019,UAV-200,6.000000,10.000000,112.0,222.917947,22.500000,245.417947,1000.000000,NO,245.417947,OK
3778,COM-S03,3.509450,6.172821,UAV-031,UAV-224,-4.000000,6.000000,212.0,397.993002,22.500000,420.493002,1000.000000,NO,420.493002,OK
3779,COM-S03,2.914834,6.618874,UAV-233,UAV-224,-4.000000,6.000000,360.0,661.064709,22.500000,683.564709,1000.000000,NO,683.564709,OK
3780,COM-S03,3.345035,6.008616,UAV-031,UAV-232,2.000000,0.000000,212.0,439.739156,22.500000,462.239156,1000.000000,NO,462.239156,OK
3781,COM-S03,0.460078,6.265040,UAV-020,UAV-232,2.000000,0.000000,316.0,643.424074,22.500000,665.924074,1000.000000,NO,665.924074,OK
3782,COM-S03,2.422894,7.394401,UAV-025,UAV-284,-2.000000,10.000000,364.0,772.079054,22.500000,794.579054,1000.000000,NO,794.579054,OK
3783,COM-S03,2.550382,6.981719,UAV-025,UAV-250,24.000000,-6.000000,365.0,734.381351,22.500000,756.881351,1000.000000,NO,756.881351,OK
3784,COM-S03,3.943090,6.159382,UAV-031,UAV-254,28.000000,-6.000000,216.0,438.929909,22.500000,461.429909,1000.000000,NO,461.429909,OK
3785,COM-S03,4.929367,6.244228,UAV-031,UAV-287,4.000000,0.000000,216.0,413.891204,22.500000,436.391204,1000.000000,NO,436.391204,OK
3786,COM-S03,1.741755,7.753957,UAV-025,UAV-284,-2.000000,10.000000,368.0,749.454455,22.500000,771.954455,1000.000000,NO,771.954455,OK
3787,COM-S03,0.256996,7.193624,UAV-013,UAV-054,12.000000,-5.000000,129.0,261.268955,22.500000,283.768955,1000.000000,NO,283.768955,OK
3788,COM-S03,1.266355,6.688788,UAV-020,UAV-286,1.000000,5.000000,317.0,641.057747,22.500000,663.557747,1000.000000,NO,663.557747,OK
3789,COM-S03,1.559439,6.150104,UAV-020,UAV-287,4.000000,0.000000,320.0,632.379480,22.500000,654.879480,1000.000000,NO,654.879480,OK
3790,COM-S03,4.671186,6.933089,UAV-233,UAV-302,20.000000,2.000000,364.0,728.608946,22.500000,751.108946,1000.000000,NO,751.108946,OK
3791,COM-S03,4.549109,6.851838,UAV-233,UAV-200,6.000000,10.000000,365.0,767.712540,22.500000,790.212540,1000.000000,NO,790.212540,OK
